"","MODZCTA","label","NEIGHBORHOOD_NAME","BOROUGH_GROUP","COVID_CASE_COUNT","COVID_CASE_RATE","POP_DENOMINATOR","COVID_DEATH_COUNT","COVID_DEATH_RATE","PERCENT_POSITIVE","TOTAL_COVID_TESTS","numct","MedInc","sqft","sqftpc","Pop_Add_MODZCTA","rankccr","ranksqft","rankinc","ccrsqft"
"1","10001","10001, 10118","Chelsea/NoMad/West Chelsea","Manhattan",474,2011.63,23563.03,28,118.83,4.8,9882,6,88104.3084469179,387963.157455257,18.2975596592585,21203,135,45,134,180
"2","10002","10002","Chinatown/Lower East Side","Manhattan",1434,1868.27,76755.41,161,209.76,5.91,24267,14,35859,2432140.73006499,29.8752085746836,81410,141,67,18,208
"3","10003","10003","East Village/Gramercy/Greenwich Village","Manhattan",654,1215.58,53801.62,35,65.05,2.74,23892,10,112131,1009363.7809922,18.0166318183671,56024,171,43,155,214
"4","10004","10004","Financial District","Manhattan",56,1533.99,3650.61,1,27.39,4.29,1305,2,157645,2811734.07155816,910.240877810993,3089,156,172,172,328
"5","10005","10005","Financial District","Manhattan",121,1441.14,8396.11,2,23.82,3.87,3126,1,173333,4002278.242149,560.935983482691,7135,161,167,174,328
"6","10006","10006","Financial District","Manhattan",50,1446.02,3457.77,0,0,4.06,1233,1,176250,2599585.27,863.362759880438,3011,160,171,175,331
"7","10007","10007","TriBeCa","Manhattan",88,1066.7,8249.73,3,36.36,2.82,3125,3,246813,4909482.15265,702.558980058672,6988,176,169,176,345
"8","10009","10009","Alphabet City/East Village/Stuyvesant Town-Cooper Village","Manhattan",938,1596.65,58747.99,70,119.15,4.24,22143,10,61548,1606905.58217378,26.1937108933409,61347,153,58,76,211
"9","10010","10010","Flatiron/Gramercy/Kips Bay","Manhattan",393,1214.02,32371.86,19,58.69,2.82,13938,5,117923,768004.285521552,24.1252838324292,31834,172,54,158,226
"10","10011","10011","Chelsea","Manhattan",708,1430.29,49500.52,43,86.87,3.53,20071,9,128613,616460.48749675,12.0912538737006,50984,162,33,166,195
"11","10012","10012","Greenwich Village/SoHo","Manhattan",281,1171.75,23981.2,9,37.53,2.81,10008,5,109037,712425.700834916,29.5735035630933,24090,174,65,153,239
"12","10013","10013","Hudson Square/Little Italy/SoHo/TriBeCa","Manhattan",359,1236.61,29031.09,22,75.78,2.86,12543,6,105442,2952440.78519996,106.586309935017,27700,169,117,150,286
"13","10014","10014","Hudson Square/Meatpacking District/West Village","Manhattan",437,1407.72,31043.16,29,93.42,3.32,13173,6,126601,3149323.15335366,98.5426062565682,31959,163,112,163,275
"14","10016","10016","Kips Bay/Murray Hill/NoMad","Manhattan",942,1793.45,52524.35,49,93.29,4.45,21162,9,117004,521584.544536,9.62635041500102,54183,144,32,157,176
"15","10017","10017","East Midtown/Murray Hill","Manhattan",191,1184.33,16127.22,8,49.61,3.25,5871,5,127459.860683915,340807.313192656,20.5540867976995,16581,173,49,165,222
"16","10018","10018","Hell's Kitchen/Midtown Manhattan","Manhattan",223,2339.63,9531.44,6,62.95,6.41,3479,6,108914,321976.701449,61.5751962992924,5229,117,95,152,212
"17","10019","10019, 10020","Hell's Kitchen/Midtown Manhattan","Manhattan",778,1914.77,40631.45,42,103.37,4.35,17886,10,98826.0842488279,22437388.0269245,523.345416157594,42873,140,164,144,304
"18","10021","10021","Lenox Hill/Upper East Side","Manhattan",723,1636.65,44175.61,65,147.14,4.07,17756,5,118289,9390032.36661734,215.214695207933,43631,149,141,159,290
"19","10022","10022","East Midtown","Manhattan",445,1466.96,30334.8,33,108.79,3.79,11741,8,135363,3230930.95756724,101.206958951486,31924,158,113,169,271
"20","10023","10023","Lincoln Square","Manhattan",741,1229.37,60274.81,54,89.59,3.39,21868,8,130452,30768432.9077932,504.417077736864,60998,170,163,167,333
"21","10024","10024","Upper West Side","Manhattan",932,1625.46,57337.68,75,130.8,3.95,23611,7,131668,20040199.422503,338.042936803181,59283,151,153,168,304
"22","10025","10025","Manhattan Valley/Morningside Heights/Upper West Side","Manhattan",1699,1840.07,92333.47,181,196.03,4.21,40340,12,85930,17849808.7987021,188.687196603617,94600,142,135,128,277
"23","10026","10026","Central Harlem (South)","Manhattan",831,2129.78,39018.03,50,128.15,6.48,12828,7,58884,36911844.2368566,1085.54669402278,34003,127,175,70,302
"24","10027","10027","Central Harlem (South)/Morningside Heights/West Harlem","Manhattan",1283,2016.31,63631.04,115,180.73,5.72,22425,14,46113,4592584.90812181,76.9187014608306,59707,134,103,34,237
"25","10028","10028","Upper East Side/Yorkville","Manhattan",620,1261.31,49155.08,34,69.17,3.71,16718,8,125140,12027044.7870813,266.432839039483,45141,168,148,162,316
"26","10029","10029","East Harlem","Manhattan",2179,2763.77,78841.52,212,268.89,8.17,26674,15,34016,18183854.165613,239.251794871426,76003,96,144,17,240
"27","10030","10030","Central Harlem (North)","Manhattan",616,2100.82,29321.91,58,197.8,7.1,8676,5,37232,2573776.804097,95.328597507204,26999,129,110,22,239
"28","10031","10031","Hamilton Heights/West Harlem","Manhattan",1673,2762.69,60556.93,135,222.93,8.64,19364,9,49891,11157863.724485,197.701260223342,56438,97,138,40,235
"29","10032","10032","Washington Heights (South)","Manhattan",1889,3071.92,61492.57,175,284.59,9.25,20431,9,50391,11166514.1578492,194.772708619232,57331,80,137,43,217
"30","10033","10033","Washington Heights (North)/Washington Heights (South)","Manhattan",1671,2822.14,59210.43,123,207.73,8.85,18873,8,58614,7311832.579397,135.590115702945,53926,92,127,69,219
"31","10034","10034","Inwood/Washington Heights (North)","Manhattan",947,2198.56,43073.65,72,167.16,7.47,12674,9,54716,13674572.626358,351.459150466691,38908,121,154,57,275
"32","10035","10035","East Harlem","Manhattan",1194,3468.24,34426.65,137,397.95,9.19,12995,8,30081,4671398.97667267,137.519472951004,33969,47,128,13,175
"33","10036","10036","Hell's Kitchen/Midtown Manhattan","Manhattan",577,2201.34,26211.25,40,152.61,5.03,11473,5,91936,2601932.699393,105.29451254069,24711,120,115,138,235
"34","10037","10037","Central Harlem (North)/East Harlem","Manhattan",617,2987.95,20649.62,66,319.62,8.78,7028,3,45041,910176.229628,52.2609226933854,17416,84,89,33,173
"35","10038","10038","Chinatown/Financial District","Manhattan",353,1601.06,22047.96,28,127,4.5,7851,4,86058,2235241.766348,110.110431839803,20300,152,118,129,270
"36","10039","10039","Central Harlem (North)/Washington Heights (South)","Manhattan",651,2460.55,26457.52,66,249.46,8.39,7756,5,39653,2939189.709186,119.83486399421,24527,109,122,26,231
"37","10040","10040","Washington Heights (North)","Manhattan",1392,3106.57,44808.28,120,267.81,9.11,15286,5,47137,10060420.1551985,240.076844176076,41905,76,145,37,221
"38","10044","10044","Roosevelt Island","Manhattan",268,2290.54,11700.29,36,307.68,7,3827,2,100441,23619.286968,2.02549412297402,11661,118,2,146,120
"39","10065","10065","Lenox Hill/Upper East Side","Manhattan",422,1452.09,29061.49,28,96.35,3.44,12284,8,127375,10493426.396769,325.175903215649,32270,159,152,164,311
"40","10069","10069","Lincoln Square","Manhattan",82,1293.76,6338.13,2,31.56,3.03,2709,0,110625,17932006.62161,3449.12610532987,5199,166,177,154,343
"41","10075","10075, 10162","Lenox Hill/Upper East Side","Manhattan",492,2081.73,23634.14,47,198.86,4.8,10253,1,140280.999280731,8282368.8115376,297.862648764209,27806,132,149,170,281
"42","10128","10128","Upper East Side/Yorkville","Manhattan",789,1286.02,61351.93,41,66.83,3.44,22960,9,114010,13846314.2950645,229.042633038303,60453,167,143,156,310
"43","10280","10280","Battery Park City","Manhattan",69,717.35,9618.7,0,0,2.57,2685,1,169844,3201067.220917,407.623484135617,7853,177,158,173,335
"44","10282","10282","Battery Park City","Manhattan",87,1577.39,5515.44,14,253.83,5.1,1706,1,250001,5068856.11,1059.76502404349,4783,154,173,177,327
"45","10301","10301","Silver Lake/St. George","Staten Island",1439,3632.6,39613.55,108,272.63,10.86,13251,13,55802,3596247.816144,90.5718988602226,39706,34,107,58,141
"46","10302","10302","Elm Park","Staten Island",732,3899.01,18773.99,32,170.45,13.21,5540,5,64103,389721.528108811,20.4170959822302,19088,19,48,84,67
"47","10303","10303","Graniteville/Mariner's Harbor/Port Ivory","Staten Island",1001,3816,26231.66,47,179.17,12.33,8118,7,62558,93188.4186162767,3.53830803114541,26337,26,9,78,35
"48","10304","10304","New Dorp/Todt Hill","Staten Island",1653,3894.11,42448.71,182,428.75,11.62,14231,10,52199,805333.231671167,19.0868919411079,42193,22,46,52,68
"49","10305","10305","Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze","Staten Island",1508,3543.15,42560.99,81,190.32,11.71,12876,11,76489,3072542.07420684,73.5955849051915,41749,38,101,113,139
"50","10306","10306","Lighthouse Hill/Midland Beach/New Dorp/Oakwood","Staten Island",1765,3287.66,53685.66,83,154.6,9.98,17680,13,79569,3262727.220019,58.3578175252463,55909,64,93,117,157
"51","10307","10307","Tottenville","Staten Island",470,3089.15,15214.56,15,98.59,11.11,4232,3,80893,4217423.834807,299.192950823425,14096,78,150,119,228
"52","10308","10308","Great Kills","Staten Island",810,2733.22,29635.33,28,94.48,9.81,8259,7,93963,5806752.867678,212.258393379318,27357,101,140,142,241
"53","10309","10309","Charleston/Prince's Bay/Woodrow","Staten Island",1031,3123.77,33004.98,32,96.96,10.45,9862,5,103175,2112442.280635,64.9602472596021,32519,74,97,147,171
"54","10310","10310","Port Richmond/Randall Manor/West Brighton","Staten Island",859,3598.52,23870.96,35,146.62,10.99,7817,7,72093,3584833.84143214,143.611643355186,24962,36,130,103,166
"55","10312","10312","Annadale/Rossville","Staten Island",1861,3086.01,60304.33,60,99.5,10.36,17963,9,95064,4257603.75231977,71.7928597113141,59304,79,100,143,179
"56","10314","10314","Bloomfield/Freshkills Park","Staten Island",3198,3520.7,90834.29,204,224.58,11.16,28647,18,86742,7396802.94509651,86.5021979311953,85510,42,106,132,148
"57","10451","10451","Concourse/Melrose","Bronx",1864,3906.22,47718.77,154,322.72,11.23,16602,10,28921,1589161.077582,34.7638763061274,45713,17,73,12,90
"58","10452","10452","Concourse/Highbridge","Bronx",3002,3896.93,77035.04,178,231.06,12.14,24727,15,28277,2047966.88341234,27.1718151996436,75371,21,60,11,81
"59","10453","10453","Morris Heights/Mount Hope/University Heights","Bronx",2935,3615.24,81184.04,168,206.94,12.28,23910,17,25275,997890.715172,12.7429888668225,78309,35,36,2,71
"60","10454","10454","Mott Haven/Port Morris","Bronx",1325,3466.46,38223.41,107,279.93,11.16,11876,8,21149,1511645.50809719,40.4865283257142,37337,48,81,1,129
"61","10455","10455","Mott Haven","Bronx",1554,3684.7,42174.38,112,265.56,11.79,13182,10,26801,1445674.59457354,36.4471094056106,39665,31,76,5,107
"62","10456","10456","Claremont/Morrisania","Bronx",3029,3241.59,93441.91,298,318.91,10.84,27953,17,27106,3233601.65774377,37.3623771793797,86547,72,77,8,149
"63","10457","10457","Belmont/Claremont/Mount Hope/Tremont","Bronx",2635,3528.15,74685.06,189,253.06,11.41,23099,18,27420,2437735.49471247,34.579770408427,70496,40,72,9,112
"64","10458","10458","Belmont/Fordham University/Kingsbridge","Bronx",2604,3107.11,83807.74,131,156.31,11.1,23464,16,33932,8360914.43037396,105.179319055678,79492,75,114,16,189
"65","10459","10459","Charlotte Gardens/Hunts Point","Bronx",1798,3718.37,48354.56,167,345.37,11.11,16183,13,27687,1866518.05780878,39.4545966392319,47308,29,79,10,108
