"name","location","system","gispropnum","approx_date_closed","approx_date_reopened","editdate","status","district","closuretype","geometry","fac_type","duration_closed"
"Riverdale Playground","Hudson Manor Ter bet. W 237 St and W 236 St",NA,"X186",2020-03-31,2020-07-06,2020-07-06,"Reopened","X-08","Completely Locked",c(-73.9147782950652, 40.8876081686989),"Playground",13.8571428571429
"Mosholu Playground","Mosholu Parkway South bet. Bainbridge Ave. and Briggs Ave.","X197-CPA-0002","X197",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-07","Completely Locked",c(-73.882859966264, 40.8721592631146),"Playground",11.7142857142857
"Nelson Rockefeller Park Playground North",NA,NA,"M283",2020-03-31,2020-06-22,2020-06-23,"Reopened","M-01","Completely Locked",c(-74.0155558956247, 40.7180874551248),"Playground",11.8571428571429
"Bufano Park","Bradford Ave. bet. La Salle Ave. and Waterbury Ave.","X121-CPA-0001","X121",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-10","Completely Locked",c(-73.8309119667303, 40.8378545580122),"Playground",11.7142857142857
"Andries Playground",NA,NA,"B287",2020-03-31,2020-06-22,2020-06-23,"Reopened","B-14","Completely Locked",c(-73.9464552609493, 40.62283326105),"Playground",11.8571428571429
"St. Mary's Park",NA,NA,"B118B",2020-03-31,2020-06-22,2020-06-22,"Reopened","B-06","Completely Locked",c(-73.9972220658303, 40.6764307214546),"Playground",11.8571428571429
"Mafera Park","65 Pl. bet. Shaler Ave. and the rail yards","Q305-CPA-0001","Q305",2020-03-31,2020-06-21,2020-06-21,"Reopened","Q-05","Completely Locked",c(-73.891179895965, 40.7057533592646),"Playground",11.7142857142857
"Tot Lot One Hundred And Twelve","W 112-113 Sts, Riverside Dr","M071-CPA-0001","M071",2020-03-31,2020-06-21,2020-06-22,"Reopened","M-14","Completely Locked",c(-73.9679302018404, 40.8064616030763),"Playground",11.7142857142857
"Winthrop Playground","Winthrop St. between Rogers Ave. and Bedford Ave.","B267-CPA-0001","B267",2020-03-31,2020-06-22,2020-06-22,"Reopened","B-09","Completely Locked",c(-73.954789948915, 40.6565652459303),"Playground",11.8571428571429
"Dunbar Playground","E 161 St, Trinity Av, E 163 St, Cauldwel",NA,"X185",2020-03-31,2020-06-21,2020-06-22,"Reopened","X-03","Completely Locked",c(-73.906443750881, 40.8230107773918),"Playground",11.7142857142857
